driver_id,deliveries_completed,hours_worked,earnings,city,tenure_months,churn
101,214,26.74371708430161,5069,Mumbai,22,0
102,179,21.228259896696095,2593,Kolkata,7,0
103,198,47.560115548482244,6824,Kolkata,22,0
104,32,22.56319823088551,9179,Chennai,4,1
105,164,22.949061986117442,8143,Hyderabad,14,1
106,148,27.72791840767517,2560,Kolkata,24,0
107,104,46.478447179664606,7366,Chennai,19,1
108,160,14.790659018683707,3909,Chennai,22,0
109,230,51.0265058041277,6580,Mumbai,17,1
110,254,25.090673672521774,5903,Chennai,11,1
111,220,36.58797894812069,4541,Bengaluru,23,1
112,169,22.45360201627905,6324,Hyderabad,10,0
113,61,46.993294580655295,7537,Bengaluru,8,1
114,71,57.71256575666931,4372,Hyderabad,17,0
115,165,38.3772038698136,2111,Hyderabad,18,1
116,246,52.76478047294267,5789,Kolkata,18,1
117,66,48.997318827947645,8179,Delhi,3,0
118,233,17.10754134550931,8746,Kolkata,21,1
119,61,30.88101048041557,9824,Hyderabad,11,1
120,79,26.073094668396624,4069,Delhi,20,0
121,252,27.598199906686666,5129,Pune,18,1
122,267,42.690592609619856,2421,Mumbai,5,0
123,271,47.46264297683019,9219,Kolkata,12,1
124,268,17.739499817614167,4132,Bengaluru,12,0
125,224,46.03196643551017,6696,Hyderabad,11,1
126,235,22.886239697037098,2254,Pune,15,1
127,281,39.416923637420545,5994,Chennai,5,1
128,218,15.574673003134928,4302,Delhi,13,0
129,210,50.22192974951975,8374,Mumbai,14,0
130,68,14.738727611067421,4398,Pune,21,0
131,63,14.20928732990198,7718,Hyderabad,5,0
132,253,59.430764625359174,6116,Delhi,13,1
133,124,21.781331868695887,4321,Bengaluru,22,1
134,160,49.114288083272655,4140,Hyderabad,15,1
135,294,23.84708715504629,4830,Bengaluru,3,1
136,175,32.175890639564884,6830,Kolkata,6,0
137,74,36.848226823666835,6298,Bengaluru,16,0
138,250,18.46588423131874,3197,Chennai,23,0
139,287,33.5949002951947,9719,Bengaluru,3,1
140,34,20.953653454045572,5550,Chennai,15,1
141,47,,7800,Delhi,19,0
142,125,43.423193722504514,6020,Mumbai,8,0
143,51,51.054142708569586,3058,Hyderabad,2,0
144,103,24.11336062092768,7494,Pune,18,0
145,206,31.158691588570832,4543,Chennai,2,0
146,145,39.76199123694697,3671,Delhi,8,1
147,187,33.92569959210396,5578,Bengaluru,15,1
148,224,43.33705947289855,7666,Pune,15,0
149,132,31.174867817860438,9600,Chennai,21,1
150,258,10.098603394535724,5228,Pune,21,1
151,244,47.26573723978474,9471,Bengaluru,14,0
152,152,25.436790620060936,8350,Delhi,13,1
153,240,56.33783392319539,4538,Chennai,15,1
154,144,29.625441459914132,9807,Chennai,7,0
155,192,50.59682675587072,5278,Delhi,22,0
156,295,31.58653131834083,5228,Bengaluru,12,0
157,234,36.41734334320657,3102,Hyderabad,14,1
158,201,42.17092587526519,3308,Chennai,12,0
159,264,27.88998181408392,3291,Bengaluru,12,0
